BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
LKMB002-1-66-S65_c00492_NODE_49...region001	c00492_NODE_49..	NODE_492_length_5056_cov_14.170766	terpene	Terpene		
LKMB002-1-66-S65_c00617_NODE_61...region001	c00617_NODE_61..	NODE_617_length_4037_cov_7.633601	lanthipeptide-class-iii	RiPPs		
LKMB002-1-66-S65_c00730_NODE_73...region001	c00730_NODE_73..	NODE_730_length_3545_cov_14.194842	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-66-S65_c00804_NODE_80...region001	c00804_NODE_80..	NODE_804_length_3297_cov_7.793337	NRPS-like	NRPS		
LKMB002-1-66-S65_c01548_NODE_15...region001	c01548_NODE_15..	NODE_1548_length_1884_cov_13.735921	RiPP-like	RiPPs		
LKMB002-1-66-S65_c01799_NODE_17...region001	c01799_NODE_17..	NODE_1799_length_1680_cov_322.031385	ectoine	Others		
LKMB002-1-66-S65_c01891_NODE_18...region001	c01891_NODE_18..	NODE_1891_length_1612_cov_3.455363	terpene	Terpene		
LKMB002-1-66-S65_c01981_NODE_19...region001	c01981_NODE_19..	NODE_1981_length_1548_cov_11.898861	ectoine	Others		
LKMB002-1-66-S65_c02028_NODE_20...region001	c02028_NODE_20..	NODE_2028_length_1518_cov_2.558442	siderophore	Others		
LKMB002-1-66-S65_c02907_NODE_29...region001	c02907_NODE_29..	NODE_2907_length_1126_cov_3.334267	terpene	Terpene		
LKMB002-1-67-S66_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_456755_cov_163.973744	RiPP-like	RiPPs		
LKMB002-1-67-S66_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_259872_cov_160.590827	NRPS-like.NRPS	NRPS		
LKMB002-1-67-S66_c00039_NODE_39...region001	c00039_NODE_39..	NODE_39_length_22116_cov_25.924709	T3PKS	PKSother		
LKMB002-1-67-S66_c00049_NODE_49...region001	c00049_NODE_49..	NODE_49_length_18437_cov_30.049505	NRPS	NRPS		
LKMB002-1-67-S66_c00092_NODE_92...region001	c00092_NODE_92..	NODE_92_length_11040_cov_22.209467	siderophore	Others		
LKMB002-1-67-S66_c00134_NODE_13...region001	c00134_NODE_13..	NODE_134_length_7562_cov_20.417743	siderophore	Others		
LKMB002-1-67-S66_c00222_NODE_22...region001	c00222_NODE_22..	NODE_222_length_3359_cov_15.213680	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-67-S66_c00789_NODE_78...region001	c00789_NODE_78..	NODE_789_length_1461_cov_4.508535	NRPS-like	NRPS		
LKMB002-1-67-S66_c00942_NODE_94...region001	c00942_NODE_94..	NODE_942_length_1375_cov_5.069697	siderophore	Others		
LKMB002-1-67-S66_c01866_NODE_18...region001	c01866_NODE_18..	NODE_1866_length_1047_cov_3.828629	NRPS-like	NRPS		
LKMB002-1-69-S68_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_152428_cov_46.380376	NRPS	NRPS		
LKMB002-1-69-S68_c00021_NODE_21...region001	c00021_NODE_21..	NODE_21_length_102779_cov_44.346015	NRPS	NRPS		
LKMB002-1-69-S68_c00022_NODE_22...region001	c00022_NODE_22..	NODE_22_length_102638_cov_45.060995	NRPS-like	NRPS		
LKMB002-1-69-S68_c00030_NODE_30...region001	c00030_NODE_30..	NODE_30_length_88833_cov_46.272962	terpene	Terpene		
LKMB002-1-69-S68_c00047_NODE_47...region001	c00047_NODE_47..	NODE_47_length_65417_cov_46.795585	T1PKS	PKSI		
LKMB002-1-69-S68_c00122_NODE_12...region001	c00122_NODE_12..	NODE_122_length_22985_cov_45.206716	terpene	Terpene		
LKMB002-1-69-S68_c00156_NODE_15...region001	c00156_NODE_15..	NODE_156_length_15020_cov_10.552422	siderophore	Others		
LKMB002-1-69-S68_c00335_NODE_33...region001	c00335_NODE_33..	NODE_335_length_8301_cov_6.337376	T1PKS	PKSI		
LKMB002-1-69-S68_c00494_NODE_49...region001	c00494_NODE_49..	NODE_494_length_6617_cov_7.630600	lanthipeptide-class-v	RiPPs		
LKMB002-1-69-S68_c00555_NODE_55...region001	c00555_NODE_55..	NODE_555_length_6270_cov_6.443121	NRPS-like.NRPS	NRPS		
LKMB002-1-69-S68_c00696_NODE_69...region001	c00696_NODE_69..	NODE_696_length_5507_cov_7.325018	NRPS-like	NRPS		
LKMB002-1-69-S68_c01042_NODE_10...region001	c01042_NODE_10..	NODE_1042_length_4170_cov_7.304982	NRPS	NRPS		
LKMB002-1-69-S68_c01194_NODE_11...region001	c01194_NODE_11..	NODE_1194_length_3748_cov_5.369077	RiPP-like	RiPPs		
LKMB002-1-69-S68_c01231_NODE_12...region001	c01231_NODE_12..	NODE_1231_length_3650_cov_7.918220	NRPS-like	NRPS		
LKMB002-1-69-S68_c01763_NODE_17...region001	c01763_NODE_17..	NODE_1763_length_2781_cov_8.199193	siderophore	Others		
LKMB002-1-69-S68_c01919_NODE_19...region001	c01919_NODE_19..	NODE_1919_length_2599_cov_5.545991	NRPS	NRPS		
LKMB002-1-69-S68_c01977_NODE_19...region001	c01977_NODE_19..	NODE_1977_length_2536_cov_8.430472	terpene	Terpene		
LKMB002-1-69-S68_c02154_NODE_21...region001	c02154_NODE_21..	NODE_2154_length_2356_cov_6.302912	siderophore	Others		
LKMB002-1-69-S68_c02322_NODE_23...region001	c02322_NODE_23..	NODE_2322_length_2206_cov_7.055323	terpene	Terpene		
LKMB002-1-69-S68_c02531_NODE_25...region001	c02531_NODE_25..	NODE_2531_length_2026_cov_9.445967	siderophore	Others		
LKMB002-1-69-S68_c02595_NODE_25...region001	c02595_NODE_25..	NODE_2595_length_1982_cov_6.360145	T3PKS	PKSother		
LKMB002-1-69-S68_c03323_NODE_33...region001	c03323_NODE_33..	NODE_3323_length_1592_cov_4.577749	siderophore	Others		
LKMB002-1-69-S68_c03485_NODE_34...region001	c03485_NODE_34..	NODE_3485_length_1511_cov_14.421016	RiPP-like	RiPPs		
LKMB002-1-69-S68_c03742_NODE_37...region001	c03742_NODE_37..	NODE_3742_length_1411_cov_8.683628	siderophore	Others		
LKMB002-1-69-S68_c05160_NODE_51...region001	c05160_NODE_51..	NODE_5160_length_1050_cov_4.096482	NRPS-like	NRPS		
LKMB002-1-70-S69_c00015_NODE_15...region001	c00015_NODE_15..	NODE_15_length_109492_cov_33.572914	T1PKS	PKSI		
LKMB002-1-70-S69_c00028_NODE_28...region001	c00028_NODE_28..	NODE_28_length_86521_cov_34.035783	NRPS	NRPS		
LKMB002-1-70-S69_c00039_NODE_39...region001	c00039_NODE_39..	NODE_39_length_74338_cov_31.424323	terpene	Terpene		
LKMB002-1-70-S69_c00042_NODE_42...region001	c00042_NODE_42..	NODE_42_length_71502_cov_31.894411	NRPS-like	NRPS		
LKMB002-1-70-S69_c00054_NODE_54...region001	c00054_NODE_54..	NODE_54_length_62749_cov_31.268383	terpene	Terpene		
LKMB002-1-70-S69_c00080_NODE_80...region001	c00080_NODE_80..	NODE_80_length_48157_cov_32.519895	NRPS	NRPS		
LKMB002-1-70-S69_c00124_NODE_12...region001	c00124_NODE_12..	NODE_124_length_31423_cov_26.927474	NRPS-like.NRPS	NRPS		
LKMB002-1-70-S69_c00128_NODE_12...region001	c00128_NODE_12..	NODE_128_length_29915_cov_28.027361	RiPP-like	RiPPs		
LKMB002-1-70-S69_c00205_NODE_20...region001	c00205_NODE_20..	NODE_205_length_15611_cov_8.039342	T1PKS	PKSI		
LKMB002-1-70-S69_c00272_NODE_27...region001	c00272_NODE_27..	NODE_272_length_9082_cov_10.594217	terpene	Terpene		
LKMB002-1-70-S69_c00273_NODE_27...region001	c00273_NODE_27..	NODE_273_length_9042_cov_10.941137	NAPAA	NRPS		
LKMB002-1-70-S69_c00654_NODE_65...region001	c00654_NODE_65..	NODE_654_length_4233_cov_6.584011	siderophore	Others		
LKMB002-1-70-S69_c00779_NODE_77...region001	c00779_NODE_77..	NODE_779_length_3786_cov_7.440096	NRPS	NRPS		
LKMB002-1-70-S69_c00824_NODE_82...region001	c00824_NODE_82..	NODE_824_length_3663_cov_7.242794	NRPS	NRPS		
LKMB002-1-70-S69_c02203_NODE_22...region001	c02203_NODE_22..	NODE_2203_length_1890_cov_7.980926	terpene	Terpene		
LKMB002-1-70-S69_c02430_NODE_24...region001	c02430_NODE_24..	NODE_2430_length_1769_cov_4.523921	NRPS-like	NRPS		
LKMB002-1-70-S69_c02480_NODE_24...region001	c02480_NODE_24..	NODE_2480_length_1744_cov_5.841326	terpene	Terpene		
LKMB002-1-70-S69_c02691_NODE_26...region001	c02691_NODE_26..	NODE_2691_length_1634_cov_6.009500	siderophore	Others		
LKMB002-1-70-S69_c03039_NODE_30...region001	c03039_NODE_30..	NODE_3039_length_1488_cov_10.307048	RiPP-like	RiPPs		
LKMB002-1-70-S69_c03282_NODE_32...region001	c03282_NODE_32..	NODE_3282_length_1404_cov_5.164566	siderophore	Others		
LKMB002-1-70-S69_c03390_NODE_33...region001	c03390_NODE_33..	NODE_3390_length_1375_cov_5.869697	RiPP-like	RiPPs		
LKMB002-1-70-S69_c03985_NODE_39...region001	c03985_NODE_39..	NODE_3985_length_1229_cov_7.092845	siderophore	Others		
LKMB002-1-70-S69_c04024_NODE_40...region001	c04024_NODE_40..	NODE_4024_length_1221_cov_9.892796	siderophore	Others		
LKMB002-1-70-S69_c04086_NODE_40...region001	c04086_NODE_40..	NODE_4086_length_1208_cov_5.375542	RRE-containing	RiPPs		
LKMB002-1-70-S69_c04260_NODE_42...region001	c04260_NODE_42..	NODE_4260_length_1172_cov_6.872874	terpene	Terpene		
LKMB002-1-70-S69_c05179_NODE_51...region001	c05179_NODE_51..	NODE_5179_length_1015_cov_8.326042	siderophore	Others		
LKMB002-1-71-S70_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_61069_cov_40.960747	T3PKS	PKSother		
LKMB002-1-71-S70_c00080_NODE_80...region001	c00080_NODE_80..	NODE_80_length_26020_cov_24.345966	siderophore	Others		
LKMB002-1-71-S70_c00082_NODE_82...region001	c00082_NODE_82..	NODE_82_length_25472_cov_538.157257	T1PKS	PKSI		
LKMB002-1-71-S70_c00090_NODE_90...region001	c00090_NODE_90..	NODE_90_length_24755_cov_29.209798	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-71-S70_c00091_NODE_91...region001	c00091_NODE_91..	NODE_91_length_24628_cov_788.734587	T1PKS	PKSI		
LKMB002-1-71-S70_c00101_NODE_10...region001	c00101_NODE_10..	NODE_101_length_23413_cov_668.122228	terpene	Terpene		
LKMB002-1-71-S70_c00130_NODE_13...region001	c00130_NODE_13..	NODE_130_length_18772_cov_640.407010	NAPAA	NRPS		
LKMB002-1-71-S70_c00134_NODE_13...region001	c00134_NODE_13..	NODE_134_length_18360_cov_40.239170	terpene	Terpene		
LKMB002-1-71-S70_c00139_NODE_13...region001	c00139_NODE_13..	NODE_139_length_17577_cov_401.975745	ectoine	Others		
LKMB002-1-71-S70_c00329_NODE_32...region001	c00329_NODE_32..	NODE_329_length_7453_cov_483.293863	NAPAA	NRPS		
LKMB002-1-71-S70_c00409_NODE_40...region001	c00409_NODE_40..	NODE_409_length_5981_cov_8.099730	NRPS	NRPS		
LKMB002-1-71-S70_c00410_NODE_41...region001	c00410_NODE_41..	NODE_410_length_5972_cov_441.810039	terpene	Terpene		
LKMB002-1-71-S70_c00420_NODE_42...region001	c00420_NODE_42..	NODE_420_length_5892_cov_355.493747	terpene	Terpene		
LKMB002-1-71-S70_c00480_NODE_48...region001	c00480_NODE_48..	NODE_480_length_5164_cov_9.405950	lanthipeptide-class-iii	RiPPs		
LKMB002-1-71-S70_c00492_NODE_49...region001	c00492_NODE_49..	NODE_492_length_5080_cov_14.991045	RiPP-like	RiPPs		
LKMB002-1-71-S70_c01023_NODE_10...region001	c01023_NODE_10..	NODE_1023_length_2609_cov_20.946359	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-71-S70_c01895_NODE_18...region001	c01895_NODE_18..	NODE_1895_length_1548_cov_9.845948	ectoine	Others		
LKMB002-1-71-S70_c02518_NODE_25...region001	c02518_NODE_25..	NODE_2518_length_1216_cov_2.443583	T3PKS	PKSother		
LKMB002-1-71-S70_c02618_NODE_26...region001	c02618_NODE_26..	NODE_2618_length_1177_cov_3.843137	siderophore	Others		
LKMB002-1-71-S70_c02684_NODE_26...region001	c02684_NODE_26..	NODE_2684_length_1151_cov_34.563869	T1PKS	PKSI		
LKMB002-1-71-S70_c02839_NODE_28...region001	c02839_NODE_28..	NODE_2839_length_1104_cov_6.398475	T3PKS	PKSother		
LKMB002-1-72-S71_c00128_NODE_12...region001	c00128_NODE_12..	NODE_128_length_4200_cov_10.296019	terpene	Terpene		
LKMB002-1-72-S71_c00173_NODE_17...region001	c00173_NODE_17..	NODE_173_length_3729_cov_7.043277	NAPAA	NRPS		
LKMB002-1-72-S71_c00340_NODE_34...region001	c00340_NODE_34..	NODE_340_length_2853_cov_10.280915	RRE-containing	RiPPs		
LKMB002-1-72-S71_c00508_NODE_50...region001	c00508_NODE_50..	NODE_508_length_2333_cov_7.816945	ectoine	Others		
LKMB002-1-72-S71_c00552_NODE_55...region001	c00552_NODE_55..	NODE_552_length_2235_cov_6.459174	NRPS-like	NRPS		
LKMB002-1-72-S71_c01663_NODE_16...region001	c01663_NODE_16..	NODE_1663_length_1337_cov_5.422777	NRPS-like	NRPS		
LKMB002-1-73-S72_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_291785_cov_105.136973	NRPS-like.prodigiosin.transAT-PKS.NRPS	PKS-NRP_Hybrids		
LKMB002-1-73-S72_c00012_NODE_12...region001	c00012_NODE_12..	NODE_12_length_181248_cov_343.704624	lanthipeptide-class-i	RiPPs		
LKMB002-1-73-S72_c00030_NODE_30...region001	c00030_NODE_30..	NODE_30_length_120632_cov_127.496256	NAPAA	NRPS		
LKMB002-1-73-S72_c00030_NODE_30...region002	c00030_NODE_30..	NODE_30_length_120632_cov_127.496256	terpene	Terpene		
LKMB002-1-73-S72_c00079_NODE_79...region001	c00079_NODE_79..	NODE_79_length_73685_cov_48.296510	NRPS	NRPS		
LKMB002-1-73-S72_c00084_NODE_84...region001	c00084_NODE_84..	NODE_84_length_72934_cov_98.650626	RiPP-like	RiPPs		
LKMB002-1-73-S72_c00098_NODE_98...region001	c00098_NODE_98..	NODE_98_length_68065_cov_135.760726	T1PKS	PKSI		
LKMB002-1-73-S72_c00106_NODE_10...region001	c00106_NODE_10..	NODE_106_length_65637_cov_26.228294	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c00125_NODE_12...region001	c00125_NODE_12..	NODE_125_length_57473_cov_54.282525	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c00156_NODE_15...region001	c00156_NODE_15..	NODE_156_length_49620_cov_64.583698	RiPP-like	RiPPs		
LKMB002-1-73-S72_c00193_NODE_19...region001	c00193_NODE_19..	NODE_193_length_42179_cov_13.420900	NAPAA	NRPS		
LKMB002-1-73-S72_c00196_NODE_19...region001	c00196_NODE_19..	NODE_196_length_41159_cov_81.615707	RiPP-like	RiPPs		
LKMB002-1-73-S72_c00205_NODE_20...region001	c00205_NODE_20..	NODE_205_length_39448_cov_392.872541	T1PKS	PKSI		
LKMB002-1-73-S72_c00264_NODE_26...region001	c00264_NODE_26..	NODE_264_length_32235_cov_338.449938	lassopeptide	RiPPs		
LKMB002-1-73-S72_c00340_NODE_34...region001	c00340_NODE_34..	NODE_340_length_25627_cov_99.905874	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c00439_NODE_43...region001	c00439_NODE_43..	NODE_439_length_19899_cov_44.960240	T1PKS	PKSI		
LKMB002-1-73-S72_c00564_NODE_56...region001	c00564_NODE_56..	NODE_564_length_15670_cov_13.647198	T3PKS	PKSother		
LKMB002-1-73-S72_c00789_NODE_78...region001	c00789_NODE_78..	NODE_789_length_11182_cov_13.445852	NRPS	NRPS		
LKMB002-1-73-S72_c00809_NODE_80...region001	c00809_NODE_80..	NODE_809_length_10849_cov_12.050306	NRPS	NRPS		
LKMB002-1-73-S72_c00873_NODE_87...region001	c00873_NODE_87..	NODE_873_length_10138_cov_11.063176	NRPS	NRPS		
LKMB002-1-73-S72_c00953_NODE_95...region001	c00953_NODE_95..	NODE_953_length_9236_cov_11.394184	terpene	Terpene		
LKMB002-1-73-S72_c00976_NODE_97...region001	c00976_NODE_97..	NODE_976_length_9032_cov_22.491255	T3PKS	PKSother		
LKMB002-1-73-S72_c01025_NODE_10...region001	c01025_NODE_10..	NODE_1025_length_8556_cov_13.867192	T1PKS	PKSI		
LKMB002-1-73-S72_c01035_NODE_10...region001	c01035_NODE_10..	NODE_1035_length_8486_cov_16.325228	siderophore	Others		
LKMB002-1-73-S72_c01106_NODE_11...region001	c01106_NODE_11..	NODE_1106_length_8084_cov_28.180844	NRPS	NRPS		
LKMB002-1-73-S72_c01359_NODE_13...region001	c01359_NODE_13..	NODE_1359_length_6717_cov_12.693936	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c01481_NODE_14...region001	c01481_NODE_14..	NODE_1481_length_6251_cov_9.761943	NRPS	NRPS		
LKMB002-1-73-S72_c01533_NODE_15...region001	c01533_NODE_15..	NODE_1533_length_6068_cov_362.892233	terpene	Terpene		
LKMB002-1-73-S72_c02316_NODE_23...region001	c02316_NODE_23..	NODE_2316_length_4162_cov_15.864621	siderophore	Others		
LKMB002-1-73-S72_c02500_NODE_25...region001	c02500_NODE_25..	NODE_2500_length_3827_cov_4.386532	RRE-containing	RiPPs		
LKMB002-1-73-S72_c02735_NODE_27...region001	c02735_NODE_27..	NODE_2735_length_3446_cov_12.797700	NRPS-like	NRPS		
LKMB002-1-73-S72_c02740_NODE_27...region001	c02740_NODE_27..	NODE_2740_length_3443_cov_5.216647	T1PKS	PKSI		
LKMB002-1-73-S72_c02788_NODE_27...region001	c02788_NODE_27..	NODE_2788_length_3398_cov_7.259946	NRPS	NRPS		
LKMB002-1-73-S72_c02970_NODE_29...region001	c02970_NODE_29..	NODE_2970_length_3225_cov_7.677287	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c03016_NODE_30...region001	c03016_NODE_30..	NODE_3016_length_3176_cov_3.712592	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c03062_NODE_30...region001	c03062_NODE_30..	NODE_3062_length_3137_cov_6.045425	terpene	Terpene		
LKMB002-1-73-S72_c03501_NODE_35...region001	c03501_NODE_35..	NODE_3501_length_2756_cov_26.945576	RRE-containing	RiPPs		
LKMB002-1-73-S72_c04206_NODE_42...region001	c04206_NODE_42..	NODE_4206_length_2320_cov_10.469316	NRPS-like	NRPS		
LKMB002-1-73-S72_c04502_NODE_45...region001	c04502_NODE_45..	NODE_4502_length_2170_cov_12.284634	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-73-S72_c04747_NODE_47...region001	c04747_NODE_47..	NODE_4747_length_2074_cov_24.802873	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c04786_NODE_47...region001	c04786_NODE_47..	NODE_4786_length_2058_cov_17.474788	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c05035_NODE_50...region001	c05035_NODE_50..	NODE_5035_length_1967_cov_13.103556	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c05957_NODE_59...region001	c05957_NODE_59..	NODE_5957_length_1682_cov_5.328211	ranthipeptide	RiPPs		
LKMB002-1-73-S72_c06131_NODE_61...region001	c06131_NODE_61..	NODE_6131_length_1644_cov_2.361233	RRE-containing	RiPPs		
LKMB002-1-73-S72_c06362_NODE_63...region001	c06362_NODE_63..	NODE_6362_length_1591_cov_7.736328	RiPP-like	RiPPs		
LKMB002-1-73-S72_c06405_NODE_64...region001	c06405_NODE_64..	NODE_6405_length_1583_cov_4.841623	sactipeptide	RiPPs		
LKMB002-1-73-S72_c06566_NODE_65...region001	c06566_NODE_65..	NODE_6566_length_1548_cov_39.454119	terpene	Terpene		
LKMB002-1-73-S72_c08476_NODE_84...region001	c08476_NODE_84..	NODE_8476_length_1234_cov_2.158609	RiPP-like	RiPPs		
LKMB002-1-73-S72_c09980_NODE_99...region001	c09980_NODE_99..	NODE_9980_length_1066_cov_4.986152	T3PKS	PKSother		
LKMB002-1-74-S73_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_732935_cov_28.499469	RiPP-like	RiPPs		
LKMB002-1-74-S73_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_732935_cov_28.499469	NRPS-like.NRPS	NRPS		
LKMB002-1-74-S73_c00016_NODE_16...region001	c00016_NODE_16..	NODE_16_length_125608_cov_420.918011	T3PKS.terpene	Others		
LKMB002-1-74-S73_c00021_NODE_21...region001	c00021_NODE_21..	NODE_21_length_107969_cov_61.482440	T3PKS	PKSother		
LKMB002-1-74-S73_c00027_NODE_27...region001	c00027_NODE_27..	NODE_27_length_80976_cov_21.995650	T1PKS	PKSI		
LKMB002-1-74-S73_c00030_NODE_30...region001	c00030_NODE_30..	NODE_30_length_79016_cov_19.979053	terpene	Terpene		
LKMB002-1-74-S73_c00030_NODE_30...region002	c00030_NODE_30..	NODE_30_length_79016_cov_19.979053	NAPAA	NRPS		
LKMB002-1-74-S73_c00082_NODE_82...region001	c00082_NODE_82..	NODE_82_length_35598_cov_48.863011	siderophore	Others		
LKMB002-1-74-S73_c00096_NODE_96...region001	c00096_NODE_96..	NODE_96_length_25972_cov_293.864452	siderophore	Others		
LKMB002-1-74-S73_c00115_NODE_11...region001	c00115_NODE_11..	NODE_115_length_20951_cov_82.857580	NRPS	NRPS		
LKMB002-1-74-S73_c00121_NODE_12...region001	c00121_NODE_12..	NODE_121_length_20284_cov_44.019724	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-74-S73_c00126_NODE_12...region001	c00126_NODE_12..	NODE_126_length_18587_cov_14.452892	terpene	Terpene		
LKMB002-1-74-S73_c00159_NODE_15...region001	c00159_NODE_15..	NODE_159_length_13867_cov_249.980814	cyclic-lactone-autoinducer	RiPPs		
LKMB002-1-74-S73_c00182_NODE_18...region001	c00182_NODE_18..	NODE_182_length_11789_cov_5.047554	NRPS	NRPS		
LKMB002-1-74-S73_c00271_NODE_27...region001	c00271_NODE_27..	NODE_271_length_8427_cov_11.285595	siderophore	Others		
LKMB002-1-74-S73_c00302_NODE_30...region001	c00302_NODE_30..	NODE_302_length_7834_cov_4.803959	NRPS	NRPS		
LKMB002-1-74-S73_c00306_NODE_30...region001	c00306_NODE_30..	NODE_306_length_7780_cov_4.607638	NRPS-like	NRPS		
LKMB002-1-74-S73_c00317_NODE_31...region001	c00317_NODE_31..	NODE_317_length_7680_cov_20.685508	RiPP-like	RiPPs		
LKMB002-1-74-S73_c00322_NODE_32...region001	c00322_NODE_32..	NODE_322_length_7513_cov_4.529767	terpene	Terpene		
LKMB002-1-74-S73_c00345_NODE_34...region001	c00345_NODE_34..	NODE_345_length_7084_cov_5.282828	ectoine	Others		
LKMB002-1-74-S73_c00384_NODE_38...region001	c00384_NODE_38..	NODE_384_length_6575_cov_5.972239	ectoine	Others		
LKMB002-1-74-S73_c00402_NODE_40...region001	c00402_NODE_40..	NODE_402_length_6244_cov_5.453223	NRPS-like	NRPS		
LKMB002-1-74-S73_c00420_NODE_42...region001	c00420_NODE_42..	NODE_420_length_5998_cov_7.748275	NRPS	NRPS		
LKMB002-1-74-S73_c00477_NODE_47...region001	c00477_NODE_47..	NODE_477_length_5631_cov_7.034254	NRPS	NRPS		
LKMB002-1-74-S73_c00479_NODE_47...region001	c00479_NODE_47..	NODE_479_length_5623_cov_5.338362	T1PKS	PKSI		
LKMB002-1-74-S73_c00480_NODE_48...region001	c00480_NODE_48..	NODE_480_length_5619_cov_10.346334	terpene	Terpene		
LKMB002-1-74-S73_c00613_NODE_61...region001	c00613_NODE_61..	NODE_613_length_4973_cov_16.664701	RiPP-like	RiPPs		
LKMB002-1-74-S73_c00714_NODE_71...region001	c00714_NODE_71..	NODE_714_length_4511_cov_5.278501	redox-cofactor	RiPPs		
LKMB002-1-74-S73_c00725_NODE_72...region001	c00725_NODE_72..	NODE_725_length_4449_cov_5.244652	NRPS	NRPS		
LKMB002-1-74-S73_c00740_NODE_74...region001	c00740_NODE_74..	NODE_740_length_4399_cov_9.164825	phosphonate	Others		
LKMB002-1-74-S73_c00787_NODE_78...region001	c00787_NODE_78..	NODE_787_length_4256_cov_5.215187	NRPS	NRPS		
LKMB002-1-74-S73_c00842_NODE_84...region001	c00842_NODE_84..	NODE_842_length_4079_cov_5.051193	NRPS	NRPS		
LKMB002-1-74-S73_c00938_NODE_93...region001	c00938_NODE_93..	NODE_938_length_3832_cov_5.404024	NRPS	NRPS		
LKMB002-1-74-S73_c01097_NODE_10...region001	c01097_NODE_10..	NODE_1097_length_3469_cov_5.761570	terpene	Terpene		
LKMB002-1-74-S73_c01318_NODE_13...region001	c01318_NODE_13..	NODE_1318_length_3149_cov_4.551713	NRPS	NRPS		
LKMB002-1-74-S73_c01376_NODE_13...region001	c01376_NODE_13..	NODE_1376_length_3067_cov_4.796149	NRPS	NRPS		
LKMB002-1-74-S73_c01412_NODE_14...region001	c01412_NODE_14..	NODE_1412_length_3007_cov_4.633808	siderophore	Others		
LKMB002-1-74-S73_c01461_NODE_14...region001	c01461_NODE_14..	NODE_1461_length_2961_cov_4.829319	NRPS	NRPS		
LKMB002-1-74-S73_c01575_NODE_15...region001	c01575_NODE_15..	NODE_1575_length_2838_cov_6.022278	NRPS	NRPS		
LKMB002-1-74-S73_c01675_NODE_16...region001	c01675_NODE_16..	NODE_1675_length_2752_cov_4.232851	NRPS	NRPS		
LKMB002-1-74-S73_c01810_NODE_18...region001	c01810_NODE_18..	NODE_1810_length_2623_cov_5.845794	siderophore	Others		
LKMB002-1-74-S73_c01971_NODE_19...region001	c01971_NODE_19..	NODE_1971_length_2493_cov_3.733798	NRPS-like	NRPS		
LKMB002-1-74-S73_c02594_NODE_25...region001	c02594_NODE_25..	NODE_2594_length_2125_cov_4.826570	NRPS	NRPS		
LKMB002-1-74-S73_c02624_NODE_26...region001	c02624_NODE_26..	NODE_2624_length_2109_cov_3.865628	terpene	Terpene		
LKMB002-1-74-S73_c02659_NODE_26...region001	c02659_NODE_26..	NODE_2659_length_2089_cov_10.847099	T3PKS	PKSother		
LKMB002-1-74-S73_c02918_NODE_29...region001	c02918_NODE_29..	NODE_2918_length_1971_cov_4.304280	NRPS	NRPS		
LKMB002-1-74-S73_c04108_NODE_41...region001	c04108_NODE_41..	NODE_4108_length_1598_cov_3.862605	NRPS	NRPS		
LKMB002-1-74-S73_c04175_NODE_41...region001	c04175_NODE_41..	NODE_4175_length_1580_cov_4.525902	NRPS	NRPS		
LKMB002-1-74-S73_c04850_NODE_48...region001	c04850_NODE_48..	NODE_4850_length_1442_cov_4.015141	RRE-containing	RiPPs		
LKMB002-1-74-S73_c05168_NODE_51...region001	c05168_NODE_51..	NODE_5168_length_1389_cov_4.134933	terpene	Terpene		
LKMB002-1-74-S73_c05482_NODE_54...region001	c05482_NODE_54..	NODE_5482_length_1344_cov_5.069046	RiPP-like	RiPPs		
LKMB002-1-74-S73_c06179_NODE_61...region001	c06179_NODE_61..	NODE_6179_length_1251_cov_5.556020	RiPP-like	RiPPs		
LKMB002-1-74-S73_c06609_NODE_66...region001	c06609_NODE_66..	NODE_6609_length_1202_cov_3.558849	NRPS	NRPS		
LKMB002-1-74-S73_c06760_NODE_67...region001	c06760_NODE_67..	NODE_6760_length_1185_cov_4.037168	T3PKS	PKSother		
LKMB002-1-74-S73_c06776_NODE_67...region001	c06776_NODE_67..	NODE_6776_length_1184_cov_3.728964	NRPS	NRPS		
