Supplementary Table 4. Quality assessment and taxonomic classification of the prokaryotic Skin Microbial Genome Catalogue																	
identifier	genome_size	N50	completeness	contamination	5S_rRNA	LSU_rRNA_bacteria	SSU_rRNA_bacteria	Numb_tRNAs	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	novelty	Sample
SMGC_240	2459980	240111	98.81	0.65	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus devriesei_A	Known	SBCC_128
SMGC_241	2557948	2462569	99.67	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus epidermidis	Known	SBCC_142
SMGC_242	2936818	208016	99.45	0.28	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__	Novel	SBCC_162
SMGC_243	2491282	60608	99.51	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus haemolyticus	Known	SBCC_166
SMGC_244	2270806	773651	99.38	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus hominis	Known	SBCC_190
SMGC_245	2657050	445119	99.61	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus lugdunensis	Known	SBCC_223
SMGC_246	4129918	265236	98.01	1.02	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina_B	s__	Novel	SBCC_237
SMGC_247	2516293	280262	99.45	0.45	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus petrasii	Known	SBCC_238
SMGC_248	2461033	202836	99.43	1.72	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Salinicoccus	s__Salinicoccus roseus	Known	SBCC_241
SMGC_249	1373832	5459	65.79	1.1	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__	Novel	SAMPLE_902
SMGC_250	5064109	10027	89.39	0.78	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium brachiatum	Known	SAMPLE_907
SMGC_251	3392236	26451	97.24	0.02	0	66.74	99.67	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	Novel	SAMPLE_912
SMGC_252	3077982	8843	74.43	2.41	0	0	0	18	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Bacteriovorax	s__	Novel	SAMPLE_912
SMGC_253	2359101	4870	58.47	0.97	95.8	16.68	0	13	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hyphomonas	s__	Novel	SAMPLE_914
SMGC_254	3300904	14944	91.49	1.21	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__	Novel	SAMPLE_914
SMGC_255	2115883	6406	66.96	1.35	0	0	0	10	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__	Novel	SAMPLE_914
SMGC_256	1987762	19240	94.63	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_914
SMGC_257	2619371	15235	92.21	2.03	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus terreus	Known	SAMPLE_914
SMGC_258	2486934	7176	79.79	0.91	0	0	0	15	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus sanguinis	Known	SAMPLE_914
SMGC_259	1786240	4605	70.11	0	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__	Novel	SAMPLE_914
SMGC_260	804323	10930	60.94	0	94.96	99.76	99.67	19	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2163	g__C7867-001	s__	Novel	SAMPLE_914
SMGC_261	1948304	20453	95.17	0.46	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Known	SAMPLE_956
SMGC_262	1530538	3713	55.61	0	0	0	0	11	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_963
SMGC_263	2245914	199601	98.85	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_967
SMGC_264	2479199	131232	99.25	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glaucum	Known	SAMPLE_968
SMGC_265	2395031	30874	99.71	0.1	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella_A	s__Moraxella_A osloensis	Known	SAMPLE_1204
SMGC_266	4624353	54588	98.58	0.16	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter himalayensis	Known	SAMPLE_1289
SMGC_267	5473055	51617	99.7	0.15	0	0	0	16	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella_A	s__Klebsiella_A grimontii	Known	SAMPLE_1367
SMGC_268	2702643	36642	99.49	0.68	94.96	16.24	77.89	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__	Known	SAMPLE_1368
SMGC_269	1852383	37842	88.01	0.58	95.8	12.85	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Pseudoclavibacter	s__	Novel	SAMPLE_1431
SMGC_270	2314810	40452	97.5	1.1	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_1431
SMGC_271	2233086	44435	96	0.66	89.92	53.95	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_1473
SMGC_272	2162675	49063	98.65	0.45	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_1490
SMGC_273	4677595	55979	100	0.05	88.24	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_F	Known	SAMPLE_1515
SMGC_274	2017962	170189	95.47	0	94.96	11.56	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionimicrobium	s__	Novel	SAMPLE_1515
SMGC_275	1583896	59780	56.83	0	0	0	0	12	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_1515
SMGC_276	2462331	59043	97.83	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_1518
SMGC_277	1863696	7590	79.03	0.95	0	0	0	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_1523
SMGC_278	2288167	6522	83.56	2.07	0	0	46.31	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Nitrincolaceae	g__	s__	Novel	SAMPLE_1526
SMGC_279	1840081	7963	86.82	1.56	0	0	0	10	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_1527
SMGC_280	2354452	22007	95.93	0.78	92.44	13.95	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__	Novel	SAMPLE_1548
SMGC_281	1596517	13879	91.13	0	0	0	0	19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__	Novel	SAMPLE_1548
SMGC_282	2178033	66424	99.05	1.42	88.24	99.25	31.25	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__	Novel	SAMPLE_1548
SMGC_283	1124048	3996	55.71	1.23	0	0	0	5	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pelistega	s__Pelistega indica	Known	SAMPLE_1548
SMGC_284	1812413	8675	89.82	2.12	0	0	0	15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas asaccharolytica	Known	SAMPLE_1548
SMGC_285	1714443	97750	90.43	0	0	0	0	19	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Saccharofermentanales	f__DTU023	g__	s__	Novel	SAMPLE_1548
SMGC_286	2298050	37159	96.71	0.08	0	0	0	20	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__	Known	SAMPLE_1550
SMGC_287	2210596	7914	80.53	4.09	95.8	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Novel	SAMPLE_1552
SMGC_288	1929730	42273	97.7	0.77	95.8	5.4	0	12	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Jeotgalicoccus	s__Jeotgalicoccus halophilus	Known	SAMPLE_1552
SMGC_289	5081462	60875	99.51	0.16	95.8	33.26	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia	s__	Novel	SAMPLE_1552
SMGC_290	2430651	7084	70.69	0	0	0	0	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__	Novel	SAMPLE_1552
SMGC_291	1626297	30722	95.06	0.83	0	0	0	19	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Auricoccaceae	g__Auricoccus	s__Auricoccus indicus	Known	SAMPLE_1552
SMGC_292	2657552	32628	94.73	1.8	88.24	99.25	48.34	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glucuronolyticum	Known	SAMPLE_1553
SMGC_293	1363850	5322	70.82	0.8	0	99.28	99.67	16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__	Novel	SAMPLE_1566
SMGC_294	2345036	66186	99.32	0.15	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_1574
SMGC_295	2804691	46412	95.69	0	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter radioresistens	Known	SAMPLE_1613
SMGC_296	3937611	109848	100	1.63	94.96	99.59	99.67	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter pittii	Known	SAMPLE_1613
SMGC_297	1742546	5220	57.6	0.52	0	0	0	12	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__	Known	SAMPLE_1630
SMGC_298	2203451	5023	53.94	0	0	0	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Antricoccaceae	g__Antricoccus	s__	Known	SAMPLE_1630
SMGC_299	2504008	8793	86.98	1.13	92.44	32.82	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Janibacter	s__	Known	SAMPLE_1630
SMGC_300	2635393	4525	51.39	0.81	0	0	0	14	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__	s__	Known	SAMPLE_1630
SMGC_301	2196853	509187	99.55	0.45	93.28	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium sp900232865	Known	SAMPLE_1635
SMGC_302	1945766	7296	70.8	1.16	0	0	0	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium ihuae	Known	SAMPLE_1636
SMGC_303	2731819	7813	79.4	2.62	0	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium casei	Known	SAMPLE_1636
SMGC_304	2230349	121924	99.1	0.11	87.39	60.44	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_1643
SMGC_305	2261942	89724	99.71	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium aurimucosum_E	Known	SAMPLE_1653
SMGC_306	2529648	70947	98.95	0	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella_A	s__	Known	SAMPLE_1655
SMGC_307	3260814	9402	83.61	0.8	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__DSL-40	s__	Known	SAMPLE_1666
SMGC_308	2235759	6377	68.97	0	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Tetrasphaera_A	s__	Known	SAMPLE_1671
SMGC_309	3091366	23306	94.99	0.26	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Fen-668	s__	Known	SAMPLE_1671
SMGC_310	2160447	14049	94.98	0.98	0	0	53.29	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	Known	SAMPLE_1671
SMGC_311	2250852	22647	97.78	0.54	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__OKQN01	s__OKQN01 sp900289115	Known	SAMPLE_1671
SMGC_312	3082792	15039	93.72	0	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Arsenicicoccus	s__	Known	SAMPLE_1672
SMGC_313	5066457	25766	99.33	1.67	0	0	0	20	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chroococcidiopsidaceae	g__	s__	Known	SAMPLE_1673
SMGC_314	3208955	11760	88.35	1.85	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium paraconglomeratum	Known	SAMPLE_1683
SMGC_315	3503940	47062	98.24	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Dietzia	s__	Novel	SAMPLE_1683
SMGC_316	2986995	31427	99.42	0	0	0	20.74	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__	Known	SAMPLE_1683
SMGC_317	3070624	9368	86.42	2.08	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Novel	SAMPLE_1683
SMGC_318	2988051	12206	88.47	0.81	0	0	21.4	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Janibacter	s__	Novel	SAMPLE_1683
SMGC_319	1816676	86779	94.12	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Lawsonella	s__Lawsonella clevelandensis	Known	SAMPLE_1684
SMGC_320	1792709	12530	86.54	1.9	0	0	21.4	11	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Novel	SAMPLE_1684
SMGC_321	2489879	7872	87.05	1.7	0	0	0	15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella buccalis	Known	SAMPLE_1684
SMGC_322	2113506	12625	95.48	1.13	0	0	0	15	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Basfia	s__Basfia bettyae	Known	SAMPLE_1688
SMGC_323	2444399	314882	97.41	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium kroppenstedtii_B	Known	SAMPLE_1689
SMGC_324	3051864	42320	98.05	0.65	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas sp003248455	Known	SAMPLE_1701
SMGC_325	3975519	25558	96.7	0.91	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Haematobacter	s__Haematobacter massiliensis	Known	SAMPLE_1701
SMGC_326	2982881	24290	98.83	0	95.8	99.62	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__	Known	SAMPLE_1703
SMGC_327	1355002	4662	51.21	0.05	0	0	22.96	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Novel	SAMPLE_1703
SMGC_328	1289309	4863	56.9	0	0	0	0	7	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__	Novel	SAMPLE_1703
SMGC_329	3498958	16139	91.86	0	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__	Novel	SAMPLE_1703
SMGC_330	1614553	16513	92.91	0.91	0	73.13	0	11	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Known	SAMPLE_1705
SMGC_331	1674902	36650	95.45	0	0	0	0	19	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_A	s__	Novel	SAMPLE_1945
SMGC_332	2849962	1362	50.65	4.72	0	45.74	0	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Lawsonella	s__	Novel	SAMPLE_1950
SMGC_333	3863021	18082	92.96	0.36	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__	Novel	SAMPLE_2371
SMGC_334	842884	1621	50.6	1.34	0	99.83	53.29	13	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_S	Known	SAMPLE_2507
SMGC_335	4681187	496045	99.88	0.88	94.96	99.86	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter_B	s__Citrobacter_B koseri	Known	SAMPLE_2671
SMGC_336	1994826	72561	99.74	0.28	0	0	0	14	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_F	Known	SAMPLE_2672
SMGC_337	2323084	26238	96.09	2.93	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_2672
SMGC_338	2417454	192404	100	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium amycolatum	Known	SAMPLE_2672
SMGC_339	1880980	79576	99.67	0.48	0	0	0	14	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D sp001815355	Known	SAMPLE_2672
SMGC_340	4499883	116465	99.76	0.05	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	Known	SAMPLE_2674
SMGC_341	2760336	27060	97.32	0	0	0	0	15	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	Known	SAMPLE_2674
SMGC_342	2426771	19747	96.81	0.43	0	0	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium minutissimum_A	Known	SAMPLE_2676
SMGC_343	2337165	190518	99.78	0	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium kefirresidentii	Known	SAMPLE_2681
SMGC_344	1838629	371854	98.26	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__	s__	Novel	SAMPLE_2681
SMGC_345	2466941	703383	100	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes	Known	SAMPLE_2683
SMGC_346	7242466	47290	99.24	1.36	92.44	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__	Novel	SAMPLE_2684
SMGC_347	2062950	88314	98.99	0	0	0	0	19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella bivia	Known	SAMPLE_2696
SMGC_348	1774214	8142	85.08	0	0	0	99.74	17	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus intestini	Known	SAMPLE_2696
SMGC_349	3866781	62818	96.5	0.5	0	0	0	16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis	Known	SAMPLE_2697
SMGC_350	3204823	33971	81.21	0	0	0	0	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_B	s__Bacteroides_B massiliensis	Known	SAMPLE_2697
SMGC_351	4209763	42227	67.41	0	0	0	0	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides xylanisolvens	Known	SAMPLE_2697
SMGC_352	1159912	5112	51.12	0.62	0	0	0	11	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera massiliensis	Known	SAMPLE_2697
SMGC_353	2183408	17105	94.63	0.69	0	0	0	7	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus pettenkoferi	Known	SAMPLE_2699
SMGC_354	2714351	723706	99.51	0.08	0	0	0	16	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus	Known	SAMPLE_2703
SMGC_355	4326180	309919	97.35	3.09	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina_C	s__	Novel	SBCC_242
SMGC_356	2486190	411413	99.73	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus warneri	Known	SBCC_245
SMGC_357	2553768	479222	99.73	0.11	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus warneri_A	Known	SBCC_251
SMGC_358	3867624	8363	90.11	1.57	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E oleovorans	Known	SAMPLE_2725
SMGC_359	1694522	20188	96.63	0.76	0	0	0	9	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Novel	SAMPLE_2729
SMGC_360	2417569	69365	97.18	0.04	0	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_2729
SMGC_361	6878286	127082	99.86	0.69	92.44	0	99.61	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002742565	Known	SAMPLE_2729
